accountId,role,lane,totalScoreRank,totalPlayerScore,objectivePlayerScore,combatPlayerScore,champLevel,win,assists,deaths,goldEarned,goldSpent,totalDamageDealt,physicalDamageDealt,magicDamageDealt,trueDamageDealt,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,largestCriticalStrike,totalTimeCrowdControlDealt,timeCCingOthers,longestTimeSpentLiving,damageSelfMitigated,totalDamageTaken,physicalDamageTaken,magicalDamageTaken,trueDamageTaken,totalHeal,totalUnitsHealed,turretKills,inhibitorKills,damageDealtToTurrets,damageDealtToObjectives,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,kills,doubleKills,tripleKills,quadraKills,pentaKills,largestMultiKill,killingSprees,largestKillingSpree,visionScore,wardsPlaced,wardsKilled,sightWardsBoughtInGame,visionWardsBoughtInGame
201114720,NONE,JUNGLE,0,0,0,0,11,True,8,1,8081,6300,89934,22976,61837,5120,8188,1003,6796,388,0,366,15,995,5270,13166,10109,3003,54,5678,1,2,0,4695,10635,19,63,43,20,4,0,0,0,0,1,1,3,10,8,0,0,1
78384,SOLO,TOP,0,0,0,0,11,True,10,4,7712,6275,54075,4444,49631,0,10032,644,9387,0,0,65,29,577,12841,13301,13198,102,0,1396,1,1,0,1657,1657,104,0,0,0,2,0,0,0,0,1,0,0,15,7,2,0,1
44251462,DUO_SUPPORT,BOTTOM,0,0,0,0,10,True,8,3,7355,6625,25440,6325,18516,598,8748,2417,5748,582,0,249,21,637,3397,9106,5390,2605,1110,1539,6,0,0,2879,2879,24,0,0,0,4,1,0,0,0,2,1,4,30,18,4,0,3
203695778,DUO_CARRY,BOTTOM,0,0,0,0,8,False,2,4,5303,5175,29043,27776,1155,112,4621,3999,558,64,111,788,16,382,3401,10149,6489,3361,298,1224,3,0,0,0,0,82,1,1,0,2,0,0,0,0,1,0,0,7,5,1,0,1
34431651,SOLO,MIDDLE,0,0,0,0,10,False,2,5,5564,5275,58613,16545,41977,90,7958,1881,5986,90,334,502,19,354,11331,17247,11502,5172,572,3337,1,0,0,0,0,109,0,0,0,1,0,0,0,0,1,0,0,12,7,2,0,3
200255786,DUO_SUPPORT,BOTTOM,0,0,0,0,8,False,4,5,4376,4150,6945,2305,4330,310,2468,386,1772,310,0,50,17,462,8023,14887,8373,6169,344,603,4,0,0,0,0,22,0,0,0,1,0,0,0,0,1,0,0,25,11,2,0,2
201760833,SOLO,TOP,0,0,0,0,10,False,2,6,6207,5350,44656,44656,0,0,13360,13360,0,0,0,54,7,352,12328,18774,11884,6289,600,310,1,0,0,1326,1326,82,0,0,0,5,0,0,0,0,1,0,0,6,6,0,0,0
202197638,NONE,JUNGLE,0,0,0,0,9,False,4,3,5098,4600,153584,2483,2982,148118,2748,1417,1103,228,0,89,17,302,3925,8249,4062,4034,152,1347,2,0,0,0,0,6,29,28,1,1,0,0,0,0,1,0,0,35,16,3,0,6
282573,DUO_SUPPORT,BOTTOM,0,0,0,0,13,False,4,7,7046,6650,22693,4655,17056,981,6222,927,4813,481,0,148,37,666,20481,20240,14398,5406,436,634,5,0,0,1534,1534,38,0,0,0,1,0,0,0,0,1,0,0,42,19,4,0,2
752108,NONE,JUNGLE,0,0,0,0,16,False,3,6,11757,11050,191138,140910,30345,19882,14248,10938,2749,560,0,1452,22,770,29643,33319,24190,8787,342,6493,1,1,0,343,19725,78,123,56,67,5,0,0,0,0,1,1,3,37,24,3,0,1
40698176,SOLO,TOP,0,0,0,0,15,False,5,8,10918,10150,107862,10860,97001,0,21726,1358,20368,0,0,580,15,663,17814,25288,21435,3314,538,661,1,1,0,2406,2406,179,0,0,0,6,0,0,0,0,1,2,2,20,8,1,0,4
1048092,SOLO,MIDDLE,0,0,0,0,15,False,6,6,10809,10075,108864,13878,93562,1424,23609,2046,20138,1424,554,91,5,606,16462,25802,19702,4783,1316,15372,1,0,0,763,763,183,5,1,4,6,0,0,0,0,1,2,2,25,14,1,0,1
34073245,DUO_CARRY,BOTTOM,0,0,0,0,13,False,1,8,10081,9825,131320,127756,3564,0,12465,11996,468,0,466,3,0,778,9175,17301,15061,1960,280,951,1,1,0,3076,3076,220,3,3,0,0,0,0,0,0,0,0,0,19,11,2,0,2
202197638,DUO_SUPPORT,BOTTOM,0,0,0,0,15,True,20,2,9914,8725,8828,3935,4893,0,3800,695,3105,0,0,110,25,1295,6549,13554,5588,7966,0,6491,10,1,0,1664,3006,14,0,0,0,0,0,0,0,0,0,0,0,72,31,9,0,3
201760833,SOLO,TOP,0,0,0,0,16,True,6,6,12497,11675,123490,123279,211,0,22708,22497,211,0,0,110,12,584,29534,37086,14415,19190,3480,1202,1,4,1,7994,12511,179,3,1,2,7,0,0,0,0,1,2,3,22,9,1,0,3
206165229,DUO_CARRY,BOTTOM,0,0,0,0,16,True,9,0,15812,14450,199493,180979,15474,3040,31750,26598,4792,360,1360,278,27,0,7828,12248,8095,3651,501,3775,4,3,1,9399,25182,207,6,4,2,15,4,0,0,0,2,1,15,8,8,0,0,0
207637718,SOLO,MIDDLE,0,0,0,0,17,True,8,5,13014,12325,134818,125223,7737,1858,19080,14989,2736,1354,0,224,8,447,14448,17947,9029,8159,758,3297,1,1,0,4468,4468,190,4,1,3,8,1,0,0,0,2,1,7,10,4,1,0,3
201114720,NONE,JUNGLE,0,0,0,0,16,True,17,5,12572,11608,152429,78867,65712,7848,18165,5124,11842,1198,0,285,28,369,23804,35287,21943,12618,726,21517,1,0,1,1742,9556,42,109,59,50,5,0,0,0,0,1,2,2,23,8,4,0,2
51400560,SOLO,MIDDLE,0,0,0,0,12,False,1,5,7149,6925,65110,13194,51915,0,11379,1835,9544,0,0,433,24,552,9343,16582,8676,7678,228,2198,1,0,0,25,172,132,0,0,0,2,1,0,0,0,2,1,2,14,9,1,0,1
686043,NONE,JUNGLE,0,0,0,0,12,False,5,4,7640,7475,92619,75243,9508,7867,8769,7206,1083,480,0,705,16,776,23401,21528,15945,5494,88,6265,1,0,0,0,1833,19,81,51,30,2,0,0,0,0,1,0,0,20,10,2,0,2
201009171,DUO_CARRY,BOTTOM,0,0,0,0,12,False,4,2,8765,8400,91392,91222,170,0,6959,6902,57,0,677,24,4,979,7538,12384,6375,4204,1804,3330,3,1,0,2893,4289,189,0,0,0,1,0,0,0,0,1,0,0,7,7,0,0,0
203155786,DUO_SUPPORT,BOTTOM,0,0,0,0,10,False,6,6,5889,5750,14906,4199,6178,4529,5360,610,3855,893,0,385,32,649,13943,17992,13064,4195,732,4355,6,0,0,0,0,34,0,0,0,1,0,0,0,0,1,0,0,43,20,3,0,2
49714682,SOLO,TOP,0,0,0,0,13,False,1,6,8170,7025,92641,88175,4466,0,10174,9015,1158,0,299,781,25,395,11884,21534,16422,4263,848,1215,1,1,0,2577,2577,176,0,0,0,2,0,0,0,0,1,0,0,14,5,4,0,3
